[2023-07-31 05:57:27,719] {taskinstance.py:1159} INFO - Dependencies all met for <TaskInstance: show_table_data.show_table_data manual__2023-07-31T05:57:27.401277+00:00 [queued]>
[2023-07-31 05:57:27,731] {taskinstance.py:1159} INFO - Dependencies all met for <TaskInstance: show_table_data.show_table_data manual__2023-07-31T05:57:27.401277+00:00 [queued]>
[2023-07-31 05:57:27,731] {taskinstance.py:1356} INFO - 
--------------------------------------------------------------------------------
[2023-07-31 05:57:27,731] {taskinstance.py:1357} INFO - Starting attempt 1 of 2
[2023-07-31 05:57:27,731] {taskinstance.py:1358} INFO - 
--------------------------------------------------------------------------------
[2023-07-31 05:57:27,747] {taskinstance.py:1377} INFO - Executing <Task(PythonOperator): show_table_data> on 2023-07-31 05:57:27.401277+00:00
[2023-07-31 05:57:27,751] {standard_task_runner.py:52} INFO - Started process 429 to run task
[2023-07-31 05:57:27,754] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'show_table_data', 'show_table_data', 'manual__2023-07-31T05:57:27.401277+00:00', '--job-id', '346', '--raw', '--subdir', 'DAGS_FOLDER/simple_dag_connection.py', '--cfg-path', '/tmp/tmpe866gkrt', '--error-file', '/tmp/tmp23lv77a5']
[2023-07-31 05:57:27,755] {standard_task_runner.py:80} INFO - Job 346: Subtask show_table_data
[2023-07-31 05:57:27,810] {task_command.py:369} INFO - Running <TaskInstance: show_table_data.show_table_data manual__2023-07-31T05:57:27.401277+00:00 [running]> on host 2cb2fe2d8275
[2023-07-31 05:57:27,918] {taskinstance.py:1571} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=show_table_data
AIRFLOW_CTX_TASK_ID=show_table_data
AIRFLOW_CTX_EXECUTION_DATE=2023-07-31T05:57:27.401277+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2023-07-31T05:57:27.401277+00:00
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - Isi tabel:
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (1, '32', 1, datetime.date(2020, 8, 5), 1815)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (12, '32', 1, datetime.date(2020, 8, 6), 197)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (23, '32', 1, datetime.date(2020, 8, 7), 37)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (34, '32', 1, datetime.date(2020, 8, 8), 224)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (45, '32', 1, datetime.date(2020, 8, 9), 120)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (56, '32', 1, datetime.date(2020, 8, 10), 114)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (2, '32', 2, datetime.date(2020, 8, 5), 23782)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (13, '32', 2, datetime.date(2020, 8, 6), 144)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (24, '32', 2, datetime.date(2020, 8, 7), 8)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (35, '32', 2, datetime.date(2020, 8, 8), 83)
[2023-07-31 05:57:27,941] {logging_mixin.py:115} INFO - (46, '32', 2, datetime.date(2020, 8, 9), 36)
[2023-07-31 05:57:27,942] {logging_mixin.py:115} INFO - (57, '32', 2, datetime.date(2020, 8, 10), 49)
[2023-07-31 05:57:27,942] {logging_mixin.py:115} INFO - (3, '32', 3, datetime.date(2020, 8, 5), 0)
[2023-07-31 05:57:27,942] {logging_mixin.py:115} INFO - (14, '32', 3, datetime.date(2020, 8, 6), 0)
[2023-07-31 05:57:27,942] {logging_mixin.py:115} INFO - (25, '32', 3, datetime.date(2020, 8, 7), 0)
[2023-07-31 05:57:27,942] {logging_mixin.py:115} INFO - (36, '32', 3, datetime.date(2020, 8, 8), 0)
[2023-07-31 05:57:27,942] {logging_mixin.py:115} INFO - (47, '32', 3, datetime.date(2020, 8, 9), 0)
[2023-07-31 05:57:27,942] {logging_mixin.py:115} INFO - (58, '32', 3, datetime.date(2020, 8, 10), 0)
[2023-07-31 05:57:27,942] {logging_mixin.py:115} INFO - (4, '32', 4, datetime.date(2020, 8, 5), 0)
